Freq.	V(vout)
1.04954242865230e-02	(-6.02251732813726e+00dB,-1.20385045804175e+00°)
1.04978412255234e-02	(-6.02251821114776e+00dB,-1.20412760515672e+00°)
1.05002587211087e-02	(-6.02251909456481e+00dB,-1.20440481603816e+00°)
1.05026767734069e-02	(-6.02251997838860e+00dB,-1.20468209070069e+00°)
1.05050953825464e-02	(-6.02252086261932e+00dB,-1.20495942915896e+00°)
1.05075145486553e-02	(-6.02252174725716e+00dB,-1.20523683142764e+00°)
1.05099342718620e-02	(-6.02252263230231e+00dB,-1.20551429752138e+00°)
1.05123545522946e-02	(-6.02252351775494e+00dB,-1.20579182745482e+00°)
1.05147753900816e-02	(-6.02252440361525e+00dB,-1.20606942124265e+00°)
1.05171967853513e-02	(-6.02252528988343e+00dB,-1.20634707889952e+00°)
1.05196187382320e-02	(-6.02252617655967e+00dB,-1.20662480044009e+00°)
1.05220412488522e-02	(-6.02252706364415e+00dB,-1.20690258587906e+00°)
1.05244643173403e-02	(-6.02252795113706e+00dB,-1.20718043523108e+00°)
1.05268879438248e-02	(-6.02252883903858e+00dB,-1.20745834851084e+00°)
1.05293121284342e-02	(-6.02252972734892e+00dB,-1.20773632573302e+00°)
1.05317368712970e-02	(-6.02253061606824e+00dB,-1.20801436691231e+00°)
1.05341621725417e-02	(-6.02253150519675e+00dB,-1.20829247206339e+00°)
1.05365880322970e-02	(-6.02253239473464e+00dB,-1.20857064120096e+00°)
1.05390144506914e-02	(-6.02253328468208e+00dB,-1.20884887433972e+00°)
1.05414414278537e-02	(-6.02253417503926e+00dB,-1.20912717149435e+00°)
1.05438689639124e-02	(-6.02253506580639e+00dB,-1.20940553267958e+00°)
1.05462970589963e-02	(-6.02253595698364e+00dB,-1.20968395791009e+00°)
1.05487257132342e-02	(-6.02253684857120e+00dB,-1.20996244720061e+00°)
1.05511549267547e-02	(-6.02253774056926e+00dB,-1.21024100056583e+00°)
1.05535846996867e-02	(-6.02253863297802e+00dB,-1.21051961802049e+00°)
1.05560150321591e-02	(-6.02253952579766e+00dB,-1.21079829957930e+00°)
1.05584459243006e-02	(-6.02254041902837e+00dB,-1.21107704525697e+00°)
1.05608773762401e-02	(-6.02254131267033e+00dB,-1.21135585506825e+00°)
1.05633093881067e-02	(-6.02254220672375e+00dB,-1.21163472902785e+00°)
1.05657419600291e-02	(-6.02254310118880e+00dB,-1.21191366715051e+00°)
1.05681750921364e-02	(-6.02254399606568e+00dB,-1.21219266945096e+00°)
